Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
1981,Boston Celtics,62,20,.756,—,109.9,104.0,6.05,Y,N
1981,Philadelphia 76ers,62,20,.756,—,111.7,103.8,7.76,Y,N
1981,New York Knicks,50,32,.610,12.0,107.9,106.3,2.00,Y,N
1981,Washington Bullets,39,43,.476,23.0,105.6,105.6,0.42,N,Y
1981,New Jersey Nets,24,58,.293,38.0,106.9,113.0,-5.15,N,Y
1981,Milwaukee Bucks,60,22,.732,—,113.1,105.9,7.14,Y,N
1981,Chicago Bulls,45,37,.549,15.0,109.0,107.0,2.34,Y,N
1981,Indiana Pacers,44,38,.537,16.0,107.6,106.2,1.72,Y,N
1981,Atlanta Hawks,31,51,.378,29.0,104.9,108.0,-2.37,N,Y
1981,Cleveland Cavaliers,28,54,.341,32.0,105.7,110.6,-4.15,N,Y
1981,Detroit Pistons,21,61,.256,39.0,99.7,106.0,-5.58,N,Y
1981,San Antonio Spurs,52,30,.634,—,112.3,109.4,2.18,Y,N
1981,Kansas City Kings,40,42,.488,12.0,106.9,106.9,-0.49,Y,Y
1981,Houston Rockets,40,42,.488,12.0,108.3,107.9,-0.20,Y,Y
1981,Denver Nuggets,37,45,.451,15.0,121.8,122.3,-0.95,N,Y
1981,Utah Jazz,28,54,.341,24.0,101.2,107.1,-5.99,N,Y
1981,Dallas Mavericks,15,67,.183,37.0,101.5,109.9,-8.33,N,Y
1981,Phoenix Suns,57,25,.695,—,110.0,104.5,4.83,Y,N
1981,Los Angeles Lakers,54,28,.659,3.0,111.2,107.3,3.27,Y,N
1981,Portland Trail Blazers,45,37,.549,12.0,110.7,109.8,0.52,Y,N
1981,Golden State Warriors,39,43,.476,18.0,109.8,111.0,-1.41,N,Y
1981,San Diego Clippers,36,46,.439,21.0,106.5,108.1,-1.78,N,Y
1981,Seattle SuperSonics,34,48,.415,23.0,104.0,105.7,-1.84,N,Y
1982,Boston Celtics,63,19,.768,—,112.0,105.6,6.35,Y,N
1982,Philadelphia 76ers,58,24,.707,5.0,111.2,105.5,5.74,Y,N
1982,New Jersey Nets,44,38,.537,19.0,106.7,106.0,0.87,Y,N
1982,Washington Bullets,43,39,.524,20.0,103.5,102.6,1.06,Y,N
1982,New York Knicks,33,49,.402,30.0,106.2,108.9,-2.15,N,Y
1982,Milwaukee Bucks,55,27,.671,—,108.4,102.9,5.38,Y,N
1982,Atlanta Hawks,42,40,.512,13.0,101.0,100.5,0.81,Y,N
1982,Detroit Pistons,39,43,.476,16.0,111.1,112.0,-0.63,N,Y
1982,Indiana Pacers,35,47,.427,20.0,102.2,104.0,-1.49,N,Y
1982,Chicago Bulls,34,48,.415,21.0,106.6,108.6,-1.57,N,Y
1982,Cleveland Cavaliers,15,67,.183,40.0,103.2,111.7,-7.77,N,Y
1982,San Antonio Spurs,48,34,.585,—,113.1,110.8,1.79,Y,N
1982,Denver Nuggets,46,36,.561,2.0,126.5,126.0,0.13,Y,N
1982,Houston Rockets,46,36,.561,2.0,105.9,105.9,-0.39,Y,N
1982,Kansas City Kings,30,52,.366,18.0,107.1,110.2,-3.25,N,Y
1982,Dallas Mavericks,28,54,.341,20.0,104.6,109.0,-4.48,N,Y
1982,Utah Jazz,25,57,.305,23.0,110.9,116.6,-5.63,N,Y
1982,Los Angeles Lakers,57,25,.695,—,114.6,109.8,4.37,Y,N
1982,Seattle SuperSonics,52,30,.634,5.0,107.3,103.1,3.69,Y,N
1982,Phoenix Suns,46,36,.561,11.0,106.2,102.7,3.05,Y,N
1982,Golden State Warriors,45,37,.549,12.0,110.9,109.8,0.80,N,N
1982,Portland Trail Blazers,42,40,.512,15.0,109.8,109.2,0.39,N,N
1982,San Diego Clippers,17,65,.207,40.0,108.5,115.9,-7.05,N,Y
