Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF,21,MIA,44,2,566,96,170,.565,0,0,,96,170,.565,.565,47,94,.500,55,105,160,23,15,22,36,65,239
Jaylen Adams,PG,24,MIL,7,0,18,1,8,.125,0,2,.000,1,6,.167,.125,0,0,,0,3,3,2,0,0,0,1,2
Steven Adams,C,27,NOP,42,42,1180,145,231,.628,0,3,.000,145,228,.636,.628,45,95,.474,165,212,377,82,37,28,63,83,335
Bam Adebayo,C,23,MIA,40,40,1346,290,512,.566,2,7,.286,288,505,.570,.568,192,229,.838,92,285,377,213,35,46,111,92,774
LaMarcus Aldridge,C,35,SAS,21,18,544,115,248,.464,27,75,.360,88,173,.509,.518,31,37,.838,17,77,94,36,8,18,20,36,288
Ty-Shon Alexander,SG,22,PHO,4,0,10,0,4,.000,0,2,.000,0,2,.000,.000,0,0,,0,1,1,1,0,0,0,1,0
Nickeil Alexander-Walker,SG,22,NOP,37,7,728,133,319,.417,56,162,.346,77,157,.490,.505,33,41,.805,10,97,107,72,36,17,48,68,355
Grayson Allen,SG,25,MEM,31,19,768,101,243,.416,65,160,.406,36,83,.434,.549,46,51,.902,12,89,101,66,33,5,30,41,313
Jarrett Allen,C,22,TOT,44,26,1262,209,330,.633,5,12,.417,204,318,.642,.641,152,216,.704,134,302,436,74,20,74,65,70,575
Jarrett Allen,C,22,BRK,12,5,320,44,65,.677,0,0,,44,65,.677,.677,46,61,.754,38,87,125,20,7,19,22,21,134
Jarrett Allen,C,22,CLE,32,21,942,165,265,.623,5,12,.417,160,253,.632,.632,106,155,.684,96,215,311,54,13,55,43,49,441
Al-Farouq Aminu,PF,30,TOT,18,14,379,36,90,.400,7,32,.219,29,58,.500,.439,16,19,.842,20,76,96,29,17,9,27,24,95
Al-Farouq Aminu,PF,30,ORL,17,14,367,36,89,.404,7,31,.226,29,58,.500,.444,14,17,.824,20,71,91,29,17,9,25,22,93
Al-Farouq Aminu,F,30,CHI,1,0,12,0,1,.000,0,1,.000,0,0,,.000,2,2,1.000,0,5,5,0,0,0,2,2,2
Kyle Anderson,PF,27,MEM,41,41,1116,190,397,.479,56,152,.368,134,245,.547,.549,77,101,.762,31,202,233,139,48,27,55,67,513
Giannis Antetokounmpo,PF,26,MIL,42,42,1427,432,774,.558,48,160,.300,384,614,.625,.589,278,412,.675,76,408,484,268,50,53,154,124,1190
Kostas Antetokounmpo,PF,23,LAL,6,0,26,2,4,.500,0,0,,2,4,.500,.500,2,4,.500,2,8,10,0,2,3,6,3,6
Thanasis Antetokounmpo,SF,28,MIL,33,1,316,44,77,.571,6,17,.353,38,60,.633,.610,10,22,.455,33,43,76,28,11,7,24,40,104
Carmelo Anthony,PF,36,POR,44,3,1140,218,520,.419,79,204,.387,139,316,.440,.495,101,117,.863,23,121,144,75,37,31,45,99,616
Cole Anthony,PG,20,ORL,25,17,667,101,269,.375,27,83,.325,74,186,.398,.426,46,55,.836,20,91,111,94,17,11,51,51,275
OG Anunoby,SF,23,TOR,27,27,901,140,289,.484,61,150,.407,79,139,.568,.590,46,61,.754,39,117,156,47,47,20,44,77,387
Ryan Arcidiacono,PG,26,CHI,27,0,298,30,78,.385,15,47,.319,15,31,.484,.481,12,16,.750,3,39,42,33,7,0,6,30,87
Trevor Ariza,F,35,MIA,5,2,113,12,36,.333,5,20,.250,7,16,.438,.403,6,7,.857,3,21,24,9,3,5,3,7,35
D.J. Augustin,PG,33,TOT,42,6,819,88,229,.384,55,148,.372,33,81,.407,.504,45,49,.918,14,48,62,131,23,1,43,38,276
D.J. Augustin,PG,33,MIL,37,6,713,71,192,.370,49,129,.380,22,63,.349,.497,36,40,.900,11,39,50,110,20,1,34,33,227
D.J. Augustin,G,33,HOU,5,0,106,17,37,.459,6,19,.316,11,18,.611,.541,9,9,1.000,3,9,12,21,3,0,9,5,49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deni Avdija,SF,20,WAS,40,18,873,94,217,.433,39,119,.328,55,98,.561,.523,15,24,.625,16,163,179,48,24,9,28,106,242
Deandre Ayton,C,22,PHO,44,44,1341,280,458,.611,4,17,.235,276,441,.626,.616,87,114,.763,144,335,479,67,16,50,74,137,651
Udoka Azubuike,C,21,UTA,12,0,49,4,7,.571,0,0,,4,7,.571,.571,4,6,.667,4,9,13,0,1,4,3,8,12
Dwayne Bacon,SG,25,ORL,45,27,1130,166,417,.398,45,135,.333,121,282,.429,.452,76,91,.835,12,116,128,55,24,3,31,73,453
Marvin Bagley III,PF,21,SAC,37,37,951,209,416,.502,34,96,.354,175,320,.547,.543,61,109,.560,91,184,275,35,18,19,49,90,513
LaMelo Ball,PG,19,CHO,41,21,1174,237,526,.451,81,216,.375,156,310,.503,.528,97,123,.789,54,186,240,251,65,14,115,116,652
Lonzo Ball,PG,23,NOP,38,38,1205,196,461,.425,114,296,.385,82,165,.497,.549,33,43,.767,22,136,158,211,50,21,76,77,539
Mo Bamba,C,22,ORL,23,0,247,47,100,.470,10,38,.263,37,62,.597,.520,8,16,.500,26,64,90,7,3,20,10,34,112
Desmond Bane,SG,22,MEM,39,10,867,135,282,.479,67,148,.453,68,134,.507,.598,25,30,.833,15,97,112,50,25,5,39,71,362
Harrison Barnes,PF,28,SAC,43,43,1549,230,473,.486,63,178,.354,167,295,.566,.553,154,186,.828,46,240,286,155,31,7,64,55,677
RJ Barrett,SG,20,NYK,46,46,1568,306,687,.445,55,161,.342,251,526,.477,.485,141,192,.734,54,230,284,144,34,11,92,119,808
Will Barton,SF,30,DEN,42,38,1297,198,456,.434,73,193,.378,125,263,.475,.514,55,73,.753,28,142,170,128,37,21,70,69,524
Keita Bates-Diop,SF,25,SAS,16,0,118,11,32,.344,5,15,.333,6,17,.353,.422,7,10,.700,5,15,20,7,6,1,1,5,34
Nicolas Batum,SF,32,LAC,44,37,1264,130,279,.466,81,189,.429,49,90,.544,.611,39,46,.848,34,175,209,104,50,15,33,74,380
Aron Baynes,C,34,TOR,42,29,781,104,245,.424,20,81,.247,84,164,.512,.465,23,32,.719,72,151,223,39,12,16,36,94,251
Kent Bazemore,SF,31,GSW,44,1,718,94,213,.441,41,106,.387,53,107,.495,.538,30,44,.682,16,110,126,68,34,22,48,93,259
Darius Bazley,PF,20,OKC,36,36,1104,158,403,.392,54,186,.290,104,217,.479,.459,57,81,.704,22,248,270,54,18,23,63,31,427
Bradley Beal,SG,27,WAS,41,41,1454,449,926,.485,90,266,.338,359,660,.544,.533,296,328,.902,46,160,206,196,49,15,137,102,1284
Malik Beasley,SG,24,MIN,34,33,1122,254,567,.448,119,298,.399,135,269,.502,.553,63,74,.851,28,129,157,84,29,6,55,55,690
Jordan Bell,C,26,WAS,3,1,50,5,15,.333,0,2,.000,5,13,.385,.333,0,0,,5,11,16,5,1,3,3,4,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
