W,L,W/L%,GB,PS/G,PA/G,SRS,Teams
33,17,.660,—,89.0,84.0,5.11,Miami Heat
33,17,.660,—,89.5,86.9,3.11,Orlando Magic
28,22,.560,5.0,89.7,87.6,2.56,Philadelphia 76ers
27,23,.540,6.0,86.4,85.4,1.45,New York Knicks
19,31,.380,14.0,93.0,94.9,-1.75,Boston Celtics
18,32,.360,15.0,91.2,93.4,-1.75,Washington Wizards
16,34,.320,17.0,91.4,95.2,-3.20,New Jersey Nets
33,17,.660,—,94.7,90.9,3.86,Indiana Pacers
31,19,.620,2.0,86.3,83.4,2.82,Atlanta Hawks
29,21,.580,4.0,90.4,86.9,3.97,Detroit Pistons
28,22,.560,5.0,91.7,90.0,1.66,Milwaukee Bucks
26,24,.520,7.0,92.9,93.0,0.63,Charlotte Hornets
23,27,.460,10.0,91.1,92.8,-1.32,Toronto Raptors
22,28,.440,11.0,86.4,88.2,-0.94,Cleveland Cavaliers
13,37,.260,20.0,81.9,91.4,-8.58,Chicago Bulls
37,13,.740,—,92.8,84.7,7.12,San Antonio Spurs
37,13,.740,—,93.3,86.8,5.54,Utah Jazz
31,19,.620,6.0,94.2,91.9,1.39,Houston Rockets
25,25,.500,12.0,92.9,92.6,-0.17,Minnesota Timberwolves
19,31,.380,18.0,91.6,94.0,-2.50,Dallas Mavericks
14,36,.280,23.0,93.5,100.1,-6.67,Denver Nuggets
8,42,.160,29.0,88.9,97.5,-8.94,Vancouver Grizzlies
35,15,.700,—,94.8,88.5,5.67,Portland Trail Blazers
31,19,.620,4.0,99.0,96.0,2.68,Los Angeles Lakers
27,23,.540,8.0,95.6,93.3,2.15,Phoenix Suns
27,23,.540,8.0,100.2,100.6,-0.89,Sacramento Kings
25,25,.500,10.0,94.9,95.9,-1.43,Seattle SuperSonics
21,29,.420,14.0,88.3,90.8,-2.63,Golden State Warriors
9,41,.180,26.0,90.4,99.2,-8.94,Los Angeles Clippers
