Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
2008,Boston Celtics,66,16,.805,—,100.5,90.3,9.30,Y,N
2008,Toronto Raptors,41,41,.500,25.0,100.2,97.3,2.47,Y,N
2008,Philadelphia 76ers,40,42,.488,26.0,96.6,96.2,0.19,Y,Y
2008,New Jersey Nets,34,48,.415,32.0,95.8,100.9,-5.15,N,Y
2008,New York Knicks,23,59,.280,43.0,96.9,103.5,-6.55,N,Y
2008,Detroit Pistons,59,23,.720,—,97.5,90.1,6.67,Y,N
2008,Cleveland Cavaliers,45,37,.549,14.0,96.4,96.7,-0.53,Y,N
2008,Indiana Pacers,36,46,.439,23.0,104.0,105.4,-1.87,N,Y
2008,Chicago Bulls,33,49,.402,26.0,97.3,100.4,-3.19,N,Y
2008,Milwaukee Bucks,26,56,.317,33.0,97.0,103.9,-6.92,N,Y
2008,Orlando Magic,52,30,.634,—,104.5,99.0,4.79,Y,N
2008,Washington Wizards,43,39,.524,9.0,98.8,99.2,-0.61,Y,N
2008,Atlanta Hawks,37,45,.451,15.0,98.2,100.0,-2.23,Y,Y
2008,Charlotte Bobcats,32,50,.390,20.0,97.1,101.4,-4.49,N,Y
2008,Miami Heat,15,67,.183,37.0,91.4,100.0,-8.53,N,Y
2008,Utah Jazz,54,28,.659,—,106.2,99.3,6.86,Y,N
2008,Denver Nuggets,50,32,.610,4.0,110.7,107.0,3.74,Y,N
2008,Portland Trail Blazers,41,41,.500,13.0,95.4,96.3,-0.52,N,N
2008,Minnesota Timberwolves,22,60,.268,32.0,95.6,102.4,-6.26,N,Y
2008,Seattle SuperSonics,20,62,.244,34.0,97.5,106.3,-8.04,N,Y
2008,Los Angeles Lakers,57,25,.695,—,108.6,101.3,7.34,Y,N
2008,Phoenix Suns,55,27,.671,2.0,110.1,105.0,5.14,Y,N
2008,Golden State Warriors,48,34,.585,9.0,111.0,108.8,2.38,N,N
2008,Sacramento Kings,38,44,.463,19.0,102.5,104.8,-1.86,N,Y
2008,Los Angeles Clippers,23,59,.280,34.0,93.8,101.1,-6.56,N,Y
2008,New Orleans Hornets,56,26,.683,—,100.9,95.6,5.46,Y,N
2008,San Antonio Spurs,56,26,.683,—,95.4,90.6,5.10,Y,N
2008,Houston Rockets,55,27,.671,1.0,96.7,92.0,4.83,Y,N
2008,Dallas Mavericks,51,31,.622,5.0,100.4,95.9,4.70,Y,N
2008,Memphis Grizzlies,22,60,.268,34.0,100.7,106.9,-5.76,N,Y
