Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season
Kareem Abdul-Jabbar,C,33,LAL,80,2976,836,1457,0.574,0,1,0.0,836,1456,0.574,0.574,423,552,0.766,197,624,821,272,59,228,249,244,2095,25.5,0.616,0.001,0.379,7.6,21.5,15.0,13.6,0.9,4.0,12.8,26.3,9.6,4.6,14.3,0.23,4.7,1.4,6.1,6.1,8,0.414,Candidate,1981
Tom Abernethy,SF,26,IND,39,298,25,59,0.424,0,1,0.0,25,58,0.431,0.424,13,22,0.591,20,28,48,19,7,3,8,34,63,8.0,0.459,0.017,0.373,7.1,10.6,8.8,8.0,1.1,0.6,10.4,10.3,0.2,0.2,0.4,0.062,-2.2,-0.4,-2.6,0.0,0,0.0,OOR,1981
Alvan Adams,C,26,PHO,75,2054,458,870,0.526,0,0,0.0,458,870,0.526,0.526,199,259,0.768,157,389,546,344,106,69,226,226,1115,20.3,0.567,0.0,0.298,8.6,20.5,14.7,24.5,2.4,1.9,18.7,23.0,3.3,4.5,7.7,0.18,2.5,2.6,5.1,3.7,0,0.0,OOR,1981
Darrell Allums,PF,22,DAL,22,276,23,67,0.343,0,1,0.0,23,66,0.348,0.343,13,22,0.591,19,46,65,25,5,8,23,51,59,5.3,0.385,0.015,0.328,7.6,19.7,13.4,12.5,0.9,1.7,23.1,15.1,-0.5,0.2,-0.3,-0.054,-5.5,-0.1,-5.6,-0.3,0,0.0,OOR,1981
Tiny Archibald,PG,32,BOS,80,2820,382,766,0.499,0,9,0.0,382,757,0.505,0.499,342,419,0.816,36,140,176,618,75,18,265,201,1106,14.3,0.582,0.012,0.547,1.5,5.4,3.6,28.5,1.3,0.4,21.8,17.5,4.6,2.3,6.9,0.118,0.9,-1.0,-0.1,1.4,0,0.046,Candidate,1981
Dennis Awtrey,C,32,SEA,47,607,44,93,0.473,0,0,0.0,44,93,0.473,0.473,14,20,0.7,33,75,108,54,12,8,33,85,102,6.7,0.501,0.0,0.215,6.1,13.3,9.8,11.5,0.9,0.7,24.5,9.0,0.0,0.6,0.6,0.047,-3.2,0.7,-2.5,-0.1,0,0.0,OOR,1981
James Bailey,PF,23,SEA,82,2539,444,889,0.499,1,2,0.5,443,887,0.499,0.5,256,361,0.709,192,415,607,98,74,143,219,332,1145,14.5,0.546,0.002,0.406,8.5,17.6,13.1,5.8,1.4,3.1,17.3,20.3,1.4,3.6,4.9,0.094,-1.7,0.6,-1.1,0.6,0,0.0,OOR,1981
Greg Ballard,SF,26,WSB,82,2610,549,1186,0.463,7,32,0.219,542,1154,0.47,0.466,166,196,0.847,167,413,580,195,118,39,117,194,1271,16.7,0.5,0.027,0.165,6.7,16.8,11.7,10.9,2.1,0.8,8.4,21.4,2.8,4.1,6.9,0.127,0.8,1.4,2.2,2.8,0,0.0,OOR,1981
Mike Bantom,SF,29,IND,76,2375,431,882,0.489,0,6,0.0,431,876,0.492,0.489,199,281,0.708,150,277,427,240,80,85,197,284,1061,14.5,0.528,0.007,0.319,6.7,13.1,9.8,14.4,1.6,2.0,16.4,20.3,1.8,2.5,4.4,0.088,-0.2,0.1,-0.1,1.2,0,0.0,OOR,1981
Billy Ray Bates,SG,24,POR,77,1560,439,902,0.487,14,54,0.259,425,848,0.501,0.494,170,199,0.854,71,86,157,196,82,6,149,120,1062,19.3,0.537,0.06,0.221,4.9,6.0,5.5,19.0,2.4,0.2,13.1,28.9,2.4,1.2,3.6,0.111,2.3,-0.9,1.3,1.3,0,0.0,OOR,1981
Mel Bennett,PF,26,UTA,28,313,26,60,0.433,0,2,0.0,26,58,0.448,0.433,53,81,0.654,33,60,93,15,3,11,31,56,105,10.7,0.549,0.033,1.35,12.2,21.7,17.0,6.3,0.5,2.0,24.5,17.4,0.1,0.2,0.3,0.045,-3.7,-1.2,-5.0,-0.3,0,0.0,OOR,1981
Kent Benson,C,26,DET,59,1956,364,770,0.473,0,4,0.0,364,766,0.475,0.473,196,254,0.772,124,276,400,172,72,67,190,184,924,15.1,0.524,0.005,0.33,7.0,17.4,11.9,13.9,1.7,2.0,17.7,22.2,0.6,2.5,3.1,0.075,-0.3,0.4,0.1,1.0,0,0.0,OOR,1981
Henry Bibby,PG,31,SDC,73,1112,118,306,0.386,32,95,0.337,86,211,0.408,0.438,67,98,0.684,25,49,74,200,47,2,76,85,335,10.6,0.48,0.31,0.32,2.5,5.4,3.9,23.2,2.0,0.1,17.9,15.6,0.5,0.5,1.0,0.043,-1.0,-0.9,-1.9,0.0,0,0.0,OOR,1981
Larry Bird,PF,24,BOS,82,3239,719,1503,0.478,20,74,0.27,699,1429,0.489,0.485,283,328,0.863,191,704,895,451,161,63,289,239,1741,19.9,0.528,0.049,0.218,7.0,23.8,15.7,20.4,2.4,1.1,14.9,24.3,4.7,6.1,10.8,0.16,2.5,1.8,4.3,5.2,20,0.613,Candidate,1981
