Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season,W/L%
Kareem Abdul-Jabbar,C,37,LAL,79,2630,723,1207,0.599,0,1,0.0,723,1206,0.6,0.599,289,395,0.732,162,460,622,249,63,162,197,238,1735,22.9,0.628,0.001,0.327,7.7,18.2,13.5,13.1,1.1,3.3,12.5,24.3,7.6,3.6,11.2,0.204,3.9,1.2,5.1,4.8,0,0.264,Candidate,1985,0.756
Alvan Adams,PF,30,PHO,82,2136,476,915,0.52,0,0,0.0,476,915,0.52,0.52,250,283,0.883,153,347,500,308,115,48,197,254,1202,19.8,0.578,0.0,0.309,8.2,18.1,13.3,21.8,2.5,1.3,15.9,23.6,3.5,3.3,6.8,0.152,2.3,1.7,4.0,3.2,0,0.0,OOR,1985,0.439
Mark Aguirre,SF,25,DAL,80,2699,794,1569,0.506,27,85,0.318,767,1484,0.517,0.515,440,580,0.759,188,289,477,249,60,24,253,250,2055,21.3,0.563,0.054,0.37,7.8,12.5,10.1,15.3,1.1,0.5,12.2,32.2,5.3,1.9,7.2,0.128,3.5,-1.7,1.8,2.6,0,0.0,OOR,1985,0.537
Danny Ainge,SG,25,BOS,75,2564,419,792,0.529,15,56,0.268,404,736,0.549,0.539,118,136,0.868,76,192,268,399,122,6,149,228,971,14.2,0.57,0.071,0.172,3.4,7.9,5.8,19.9,2.2,0.1,14.9,15.9,3.9,2.8,6.6,0.124,-0.1,0.8,0.7,1.8,0,0.0,OOR,1985,0.768
Chuck Aleksinas,C,25,GSW,74,1114,161,337,0.478,0,1,0.0,161,336,0.479,0.478,55,75,0.733,87,183,270,36,15,15,72,171,377,9.1,0.509,0.003,0.223,8.1,20.1,13.6,4.4,0.6,0.8,16.3,15.6,0.1,0.4,0.4,0.019,-3.8,-1.9,-5.6,-1.0,0,0.0,OOR,1985,0.268
J.J. Anderson,SF,24,UTA,44,457,61,149,0.409,0,2,0.0,61,147,0.415,0.409,27,45,0.6,29,53,82,21,29,9,32,70,149,8.2,0.441,0.013,0.302,6.7,11.7,9.3,6.2,2.9,1.1,15.9,17.5,-0.6,0.8,0.2,0.025,-4.9,1.2,-3.7,-0.2,0,0.0,OOR,1985,0.5
Ron Anderson,SF,26,CLE,36,520,84,195,0.431,1,2,0.5,83,193,0.43,0.433,41,50,0.82,39,49,88,34,9,7,34,40,210,10.7,0.484,0.01,0.256,8.1,10.2,9.2,9.1,0.8,0.7,13.5,19.4,0.0,0.3,0.3,0.032,-1.2,-1.4,-2.6,-0.1,0,0.0,OOR,1985,0.439
John Bagley,PG,24,CLE,81,2401,338,693,0.488,3,26,0.115,335,667,0.502,0.49,125,167,0.749,54,237,291,697,129,5,207,132,804,16.0,0.524,0.038,0.241,2.4,10.7,6.6,39.4,2.5,0.1,21.3,16.3,2.3,2.3,4.6,0.092,1.3,0.4,1.7,2.2,0,0.0,OOR,1985,0.439
James Bailey,PF,27,NYK,74,1297,156,349,0.447,0,1,0.0,156,348,0.448,0.447,73,108,0.676,122,222,344,39,30,50,100,286,385,7.9,0.485,0.003,0.309,10.6,20.4,15.4,4.0,1.1,2.4,20.1,15.8,-0.8,1.4,0.6,0.021,-5.5,-0.4,-5.8,-1.3,0,0.0,OOR,1985,0.293
Thurl Bailey,PF,23,UTA,80,2481,507,1034,0.49,1,1,1.0,506,1033,0.49,0.491,197,234,0.842,153,372,525,138,51,105,152,215,1212,14.7,0.533,0.001,0.226,6.5,15.1,10.9,8.2,0.9,2.3,11.8,20.6,1.6,3.8,5.4,0.104,-0.6,0.5,-0.2,1.2,0,0.0,OOR,1985,0.5
Greg Ballard,SF,30,WSB,82,2664,469,978,0.48,14,46,0.304,455,932,0.488,0.487,120,151,0.795,150,381,531,208,100,33,106,221,1072,14.3,0.513,0.047,0.154,6.1,16.2,11.0,10.9,1.8,0.7,9.2,18.0,2.1,3.9,6.0,0.109,-0.3,0.9,0.6,1.7,0,0.0,OOR,1985,0.488
Gene Banks,SF,25,SAS,82,2091,289,493,0.586,1,3,0.333,288,490,0.588,0.587,199,257,0.774,133,312,445,234,65,13,140,220,778,14.5,0.642,0.006,0.521,7.4,16.4,12.0,14.0,1.4,0.3,18.8,14.3,3.9,1.8,5.6,0.13,1.0,0.2,1.2,1.7,0,0.0,OOR,1985,0.5
Ken Bannister,PF,24,NYK,75,1404,209,445,0.47,0,0,0.0,209,445,0.47,0.47,91,192,0.474,108,222,330,39,38,40,141,279,509,7.3,0.481,0.0,0.431,8.7,18.9,13.6,3.9,1.3,1.7,21.0,19.7,-2.2,1.4,-0.8,-0.028,-6.2,-0.9,-7.1,-1.8,0,0.0,OOR,1985,0.293
Charles Barkley,PF,21,PHI,82,2347,427,783,0.545,1,6,0.167,426,777,0.548,0.546,293,400,0.733,266,437,703,155,95,80,209,301,1148,18.3,0.599,0.008,0.511,12.9,20.8,16.9,9.6,1.9,2.0,17.9,20.0,4.2,3.3,7.5,0.154,1.3,0.4,1.7,2.2,0,0.0,OOR,1985,0.707
Kent Benson,C,30,DET,72,1401,201,397,0.506,0,3,0.0,201,394,0.51,0.506,76,94,0.809,103,221,324,93,53,44,68,207,478,12.6,0.545,0.008,0.237,7.4,17.2,12.1,8.0,1.7,1.7,13.4,13.9,1.5,1.9,3.3,0.113,-1.3,1.6,0.2,0.8,0,0.0,OOR,1985,0.561
Larry Bird,SF,28,BOS,80,3161,918,1760,0.522,56,131,0.427,862,1629,0.529,0.538,403,457,0.882,164,678,842,531,129,98,248,208,2295,26.5,0.585,0.074,0.26,6.0,22.6,14.7,25.7,1.9,1.7,11.2,28.5,10.5,5.2,15.7,0.238,6.8,2.0,8.8,8.7,73,0.978,MVP,1985,0.768
Otis Birdsong,SG,29,NJN,56,1842,495,968,0.511,4,21,0.19,491,947,0.518,0.513,161,259,0.622,60,88,148,232,84,7,117,145,1155,18.1,0.534,0.022,0.268,3.5,5.5,4.5,19.3,2.2,0.2,9.8,26.3,2.8,1.4,4.2,0.109,1.7,-0.5,1.2,1.5,0,0.0,OOR,1985,0.512
Rolando Blackman,SG,25,DAL,81,2834,625,1230,0.508,6,20,0.3,619,1210,0.512,0.511,342,413,0.828,107,193,300,289,61,16,162,96,1598,17.7,0.566,0.016,0.336,4.2,7.9,6.0,15.1,1.0,0.3,10.3,23.2,5.8,1.4,7.3,0.123,2.2,-1.4,0.9,2.0,0,0.0,OOR,1985,0.537
Cory Blackwell,SF,21,SEA,60,551,87,237,0.367,0,2,0.0,87,235,0.37,0.367,28,55,0.509,42,54,96,26,25,3,44,55,202,6.4,0.387,0.008,0.232,8.8,11.4,10.1,7.0,2.2,0.3,14.4,23.2,-1.5,0.5,-0.9,-0.081,-6.0,-1.8,-7.9,-0.8,0,0.0,OOR,1985,0.378
Sam Bowie,C,23,POR,76,2216,299,557,0.537,0,0,0.0,299,557,0.537,0.537,160,225,0.711,207,449,656,215,55,203,172,278,758,15.7,0.578,0.0,0.404,10.5,22.6,16.6,12.2,1.2,5.0,20.8,14.8,2.2,3.5,5.7,0.123,-0.3,2.3,2.0,2.2,0,0.0,OOR,1985,0.512
Dudley Bradley,SG,27,WSB,73,1232,142,299,0.475,20,64,0.313,122,235,0.519,0.508,54,79,0.684,34,100,134,173,96,21,84,152,358,12.2,0.536,0.214,0.264,3.0,9.2,6.0,18.1,3.7,1.0,20.1,14.1,0.3,2.1,2.4,0.093,-2.3,3.8,1.5,1.1,0,0.0,OOR,1985,0.488
Mike Bratz,PG,29,GSW,56,746,106,250,0.424,6,26,0.231,100,224,0.446,0.436,69,82,0.841,11,47,58,122,47,4,54,76,287,12.8,0.502,0.104,0.328,1.5,7.7,4.4,22.1,2.9,0.3,15.9,17.9,0.4,0.4,0.8,0.05,-1.5,-0.1,-1.6,0.1,0,0.0,OOR,1985,0.268
Randy Breuer,C,24,MIL,78,1083,162,317,0.511,0,0,0.0,162,317,0.511,0.511,89,127,0.701,92,164,256,40,21,82,63,179,413,13.4,0.554,0.0,0.401,9.5,16.7,13.1,4.9,0.9,4.5,14.5,16.4,1.1,1.9,3.0,0.133,-1.8,1.3,-0.5,0.4,0,0.0,OOR,1985,0.72
Ron Brewer,SG,29,NJN,20,326,62,118,0.525,0,2,0.0,62,116,0.534,0.525,23,25,0.92,9,12,21,17,6,6,9,23,147,13.3,0.57,0.017,0.212,3.0,4.2,3.6,7.0,0.9,1.1,6.5,17.1,0.6,0.2,0.8,0.111,0.3,-1.3,-1.0,0.1,0,0.0,OOR,1985,0.512
Frank Brickowski,C,25,SEA,78,1115,150,305,0.492,0,4,0.0,150,301,0.498,0.492,85,127,0.669,76,184,260,100,34,15,100,171,385,10.5,0.533,0.013,0.416,7.9,19.1,13.5,12.9,1.5,0.8,21.7,17.3,-0.3,1.3,1.0,0.042,-3.5,0.3,-3.2,-0.3,0,0.0,OOR,1985,0.378
Junior Bridgeman,SF,31,LAC,80,2042,460,990,0.465,14,39,0.359,446,951,0.469,0.472,181,206,0.879,55,175,230,171,47,18,116,128,1115,14.8,0.516,0.039,0.208,3.1,9.2,6.2,12.5,1.1,0.5,9.7,23.9,2.2,0.9,3.1,0.074,-0.2,-1.2,-1.4,0.3,0,0.0,OOR,1985,0.378
Rickey Brown,C,26,ATL,69,814,78,192,0.406,0,0,0.0,78,192,0.406,0.406,39,68,0.574,76,147,223,25,19,22,51,117,195,7.5,0.439,0.0,0.354,10.4,19.5,15.0,4.0,1.1,1.5,18.7,13.8,-0.6,1.0,0.4,0.024,-4.3,0.1,-4.1,-0.5,0,0.0,OOR,1985,0.415
Tony Brown,SF,24,IND,82,1586,214,465,0.46,0,6,0.0,214,459,0.466,0.46,116,171,0.678,146,142,288,159,59,12,116,212,544,10.8,0.503,0.013,0.368,9.6,9.5,9.6,13.4,1.7,0.4,17.7,16.3,0.4,1.4,1.8,0.054,-1.6,-0.1,-1.7,0.1,0,0.0,OOR,1985,0.268
Wallace Bryant,C,25,DAL,56,860,67,148,0.453,0,0,0.0,67,148,0.453,0.453,30,44,0.682,74,167,241,84,21,24,46,110,164,10.3,0.49,0.0,0.297,9.6,22.6,16.0,11.9,1.2,1.6,21.6,10.4,0.3,1.0,1.3,0.073,-1.9,1.2,-0.7,0.3,0,0.0,OOR,1985,0.537
Quinn Buckner,PG,30,BOS,75,858,74,193,0.383,0,1,0.0,74,192,0.385,0.383,32,50,0.64,26,61,87,148,63,2,67,142,180,7.5,0.419,0.005,0.259,3.5,7.5,5.6,20.1,3.5,0.1,23.8,13.4,-0.7,1.2,0.5,0.027,-5.2,2.0,-3.1,-0.3,0,0.0,OOR,1985,0.768
Steve Burtt,SG,22,GSW,47,418,72,188,0.383,0,1,0.0,72,187,0.385,0.383,53,77,0.688,10,18,28,20,21,4,33,76,197,7.4,0.444,0.005,0.41,2.5,5.3,3.8,6.8,2.3,0.5,12.9,23.9,-0.5,0.1,-0.4,-0.043,-6.0,-1.5,-7.5,-0.6,0,0.0,OOR,1985,0.268
Don Buse,PG,34,KCK,65,939,82,203,0.404,31,87,0.356,51,116,0.44,0.48,23,30,0.767,21,40,61,203,38,1,45,75,218,10.5,0.504,0.429,0.148,2.6,4.8,3.7,25.7,1.9,0.1,17.2,11.0,1.0,0.2,1.3,0.064,0.2,-0.1,0.0,0.5,0,0.0,OOR,1985,0.378
Michael Cage,PF,23,LAC,75,1610,216,398,0.543,0,0,0.0,216,398,0.543,0.543,101,137,0.737,126,266,392,51,41,32,81,164,533,12.5,0.582,0.0,0.344,9.0,17.7,13.5,4.2,1.2,1.1,15.0,13.7,1.8,1.4,3.2,0.096,-1.3,-0.2,-1.5,0.2,0,0.0,OOR,1985,0.378
Tony Campbell,SF,22,DET,56,625,130,262,0.496,0,1,0.0,130,261,0.498,0.496,56,70,0.8,41,48,89,24,28,3,69,107,316,10.3,0.54,0.004,0.267,6.6,8.4,7.4,5.1,2.0,0.3,19.1,22.2,-0.2,0.6,0.4,0.031,-4.3,-0.7,-5.0,-0.5,0,0.0,OOR,1985,0.561
Rick Carlisle,SG,25,BOS,38,179,26,67,0.388,0,2,0.0,26,65,0.4,0.388,15,17,0.882,8,13,21,25,3,0,19,21,67,7.2,0.45,0.03,0.254,5.2,7.7,6.5,17.5,0.8,0.0,20.3,21.3,-0.2,0.1,-0.1,-0.021,-5.2,-2.3,-7.5,-0.3,0,0.0,OOR,1985,0.768
Antoine Carr,PF,23,ATL,62,1195,198,375,0.528,2,6,0.333,196,369,0.531,0.531,101,128,0.789,79,153,232,80,29,78,108,219,499,13.0,0.578,0.016,0.341,7.3,13.8,10.6,9.5,1.2,3.7,20.0,18.6,0.6,1.5,2.1,0.084,-2.6,1.3,-1.3,0.2,0,0.0,OOR,1985,0.415
Kenny Carr,PF,29,POR,48,1120,190,363,0.523,0,3,0.0,190,360,0.528,0.523,118,164,0.72,90,233,323,56,25,17,100,141,498,13.4,0.572,0.008,0.452,9.0,23.2,16.1,6.6,1.0,0.8,18.7,18.9,0.7,1.4,2.1,0.091,-1.5,-0.9,-2.4,-0.1,0,0.0,OOR,1985,0.512
M.L. Carr,SF,34,BOS,47,397,62,149,0.416,9,23,0.391,53,126,0.421,0.446,17,17,1.0,21,22,43,24,21,6,24,44,150,9.9,0.479,0.154,0.114,6.1,5.8,6.0,7.7,2.5,0.8,13.3,18.5,0.0,0.5,0.4,0.05,-2.5,0.0,-2.5,-0.1,0,0.0,OOR,1985,0.768
