Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season
Kareem Abdul-Jabbar,C,39,78,2441,560,993,0.564,1,3,0.333,559,990,0.565,0.564,245,343,0.714,152,371,523,203,49,97,186,245,1366,17.9,0.597,0.003,0.345,7.4,15.8,11.9,11.6,0.9,2.2,14.0,22.1,4.5,3.0,7.5,0.148,1.4,0.1,1.6,2.2,0,0.0,OOR,1987
Alvan Adams,C,32,68,1690,311,618,0.503,0,1,0.0,311,617,0.504,0.503,134,170,0.788,91,247,338,223,62,37,139,207,756,14.6,0.546,0.002,0.275,6.2,16.1,11.2,18.4,1.7,1.3,16.7,20.0,1.2,1.6,2.8,0.079,-0.4,0.3,-0.1,0.8,0,0.0,OOR,1987
Michael Adams,PG,24,63,1303,160,393,0.407,28,102,0.275,132,291,0.454,0.443,105,124,0.847,38,85,123,244,85,6,81,88,453,14.3,0.506,0.26,0.316,3.0,7.0,5.0,25.7,3.1,0.3,15.3,16.3,1.2,1.5,2.7,0.099,0.0,1.2,1.2,1.0,0,0.0,OOR,1987
Rafael Addison,SF,22,62,711,146,331,0.441,16,50,0.32,130,281,0.463,0.465,51,64,0.797,41,65,106,45,27,7,54,75,359,11.9,0.5,0.151,0.193,6.6,10.1,8.4,9.1,1.8,0.6,13.1,23.6,-0.1,0.5,0.4,0.024,-2.0,-1.9,-3.9,-0.3,0,0.0,OOR,1987
Mark Aguirre,SF,27,80,2663,787,1590,0.495,53,150,0.353,734,1440,0.51,0.512,429,557,0.77,181,246,427,254,84,30,217,243,2056,22.1,0.56,0.094,0.35,7.5,9.8,8.7,15.7,1.5,0.6,10.6,31.3,6.8,2.1,8.9,0.16,4.1,-1.1,3.1,3.4,0,0.001,Candidate,1987
Danny Ainge,SG,27,71,2499,410,844,0.486,85,192,0.443,325,652,0.498,0.536,148,165,0.897,49,193,242,400,101,14,141,189,1053,15.2,0.574,0.227,0.195,2.4,8.0,5.4,21.2,2.0,0.3,13.3,18.0,4.1,2.5,6.7,0.128,1.0,0.3,1.2,2.0,0,0.0,OOR,1987
Mark Alarie,PF,23,64,1110,217,443,0.49,2,9,0.222,215,434,0.495,0.492,67,101,0.663,73,141,214,74,22,28,56,138,503,12.5,0.516,0.02,0.228,6.5,14.2,10.1,8.9,0.9,1.4,10.3,18.8,0.7,0.7,1.5,0.064,-1.8,-1.4,-3.2,-0.3,0,0.0,OOR,1987
Richard Anderson,PF,26,51,312,59,139,0.424,4,16,0.25,55,123,0.447,0.439,22,29,0.759,24,55,79,33,7,3,19,37,144,13.6,0.474,0.115,0.209,8.6,19.1,13.9,15.4,1.1,0.6,11.1,22.4,0.1,0.4,0.5,0.082,-0.8,-0.5,-1.3,0.1,0,0.0,OOR,1987
Ron Anderson,SF,28,63,721,139,294,0.473,0,5,0.0,139,289,0.481,0.473,85,108,0.787,73,78,151,54,31,3,55,65,363,16.0,0.531,0.017,0.367,10.9,12.0,11.4,11.1,2.1,0.3,13.9,22.9,0.6,0.9,1.5,0.1,0.6,-0.6,0.0,0.4,0,0.0,OOR,1987
John Bagley,PG,26,72,2182,312,732,0.426,31,103,0.301,281,629,0.447,0.447,113,136,0.831,55,197,252,379,91,7,163,114,768,12.1,0.485,0.141,0.186,2.7,9.7,6.2,24.6,2.0,0.2,17.1,17.5,0.3,2.3,2.6,0.058,-1.4,0.2,-1.3,0.4,0,0.0,OOR,1987
James Bailey,PF,29,34,542,112,239,0.469,0,0,0.0,112,239,0.469,0.469,58,80,0.725,48,89,137,20,12,23,54,119,282,11.9,0.514,0.0,0.335,10.0,18.4,14.2,5.7,1.0,2.5,16.5,24.4,-0.2,0.5,0.3,0.031,-4.3,-0.5,-4.9,-0.4,0,0.0,OOR,1987
Thurl Bailey,PF,25,81,2155,463,1036,0.447,0,2,0.0,463,1034,0.448,0.447,190,236,0.805,145,287,432,102,38,88,123,150,1116,13.9,0.49,0.002,0.228,6.9,14.0,10.4,7.1,0.8,2.3,9.7,23.2,0.2,2.9,3.1,0.07,-1.0,-0.4,-1.3,0.4,0,0.0,OOR,1987
Greg Ballard,SF,32,82,1579,248,564,0.44,15,40,0.375,233,524,0.445,0.453,68,91,0.747,99,241,340,108,50,15,70,167,579,11.5,0.479,0.071,0.161,6.8,16.9,11.8,9.3,1.5,0.5,10.4,17.2,0.5,1.2,1.7,0.052,-1.6,-0.5,-2.1,-0.1,0,0.0,OOR,1987
Gene Banks,SF,27,63,1822,249,462,0.539,0,5,0.0,249,457,0.545,0.539,112,146,0.767,115,193,308,170,52,17,113,173,610,12.6,0.58,0.011,0.316,7.0,12.3,9.6,13.0,1.4,0.6,17.7,14.8,1.9,1.7,3.6,0.095,-0.9,-0.3,-1.2,0.4,0,0.0,OOR,1987
Charles Barkley,PF,23,68,2740,557,937,0.594,21,104,0.202,536,833,0.643,0.606,429,564,0.761,390,604,994,331,119,104,322,252,1564,25.1,0.66,0.111,0.602,16.7,24.8,20.8,19.0,2.1,2.2,21.4,23.1,7.7,4.3,12.0,0.21,5.4,1.3,6.7,6.0,1,0.145,Candidate,1987
John Battle,SG,24,64,804,144,315,0.457,0,10,0.0,144,305,0.472,0.457,93,126,0.738,16,44,60,124,29,5,60,76,381,13.8,0.514,0.032,0.4,2.2,5.9,4.0,22.3,1.8,0.4,13.9,22.0,0.7,0.8,1.5,0.092,-0.6,-0.1,-0.8,0.3,0,0.0,OOR,1987
William Bedford,C,23,50,979,142,358,0.397,0,1,0.0,142,357,0.398,0.397,50,86,0.581,79,167,246,57,18,37,85,125,334,7.6,0.422,0.003,0.24,9.2,18.8,14.1,7.7,0.9,2.2,17.7,19.9,-1.7,0.9,-0.8,-0.041,-5.4,-1.2,-6.6,-1.1,0,0.0,OOR,1987
Benoit Benjamin,C,22,72,2230,320,713,0.449,0,2,0.0,320,711,0.45,0.449,188,263,0.715,134,452,586,135,60,187,184,251,828,12.6,0.5,0.003,0.369,6.1,24.1,14.4,8.7,1.3,4.8,18.2,18.1,-1.3,2.4,1.1,0.024,-3.3,1.2,-2.1,-0.1,0,0.0,OOR,1987
Kent Benson,C,32,73,895,140,316,0.443,2,7,0.286,138,309,0.447,0.446,47,58,0.81,80,151,231,39,39,28,45,138,329,11.7,0.482,0.022,0.184,9.2,17.7,13.4,6.0,2.0,1.8,11.6,17.1,0.1,1.6,1.7,0.089,-3.0,1.2,-1.8,0.0,0,0.0,OOR,1987
Walter Berry,SF-PF,22,63,1586,407,766,0.531,0,3,0.0,407,763,0.533,0.531,187,288,0.649,136,173,309,105,38,40,153,196,1001,16.8,0.561,0.004,0.376,9.1,12.5,10.7,10.4,1.1,1.4,14.6,26.5,1.4,0.9,2.3,0.071,0.0,-1.7,-1.6,0.1,0,0.0,OOR,1987
Joe Binion,PF,25,11,51,4,10,0.4,0,0,0.0,4,10,0.4,0.4,6,10,0.6,8,10,18,1,2,2,3,5,14,12.0,0.486,0.0,1.0,18.0,21.4,19.7,2.3,1.8,2.2,17.2,13.4,0.0,0.1,0.1,0.092,-1.1,-0.6,-1.7,0.0,0,0.0,OOR,1987
Larry Bird,SF,30,74,3005,786,1497,0.525,90,225,0.4,696,1272,0.547,0.555,414,455,0.91,124,558,682,566,135,70,240,185,2076,26.4,0.612,0.15,0.304,5.1,19.2,12.8,28.6,2.2,1.3,12.4,27.5,10.4,4.8,15.2,0.243,7.3,2.0,9.4,8.6,1,0.347,Candidate,1987
Otis Birdsong,SG,31,7,127,19,42,0.452,0,1,0.0,19,41,0.463,0.452,6,9,0.667,3,4,7,17,3,0,9,16,44,7.7,0.479,0.024,0.214,2.7,3.5,3.1,19.1,1.1,0.0,16.4,17.5,0.0,0.0,0.0,-0.001,-2.8,-0.3,-3.1,0.0,0,0.0,OOR,1987
Uwe Blab,C,24,30,160,20,51,0.392,0,0,0.0,20,51,0.392,0.392,13,28,0.464,11,25,36,13,4,9,15,33,53,7.1,0.419,0.0,0.549,7.6,16.6,12.2,10.4,1.2,3.2,19.2,19.9,-0.3,0.2,-0.1,-0.027,-6.4,0.3,-6.1,-0.2,0,0.0,OOR,1987
Rolando Blackman,SG,27,80,2758,626,1264,0.495,5,15,0.333,621,1249,0.497,0.497,419,474,0.884,96,182,278,266,64,21,174,142,1676,18.1,0.569,0.012,0.375,3.8,7.0,5.5,14.2,1.1,0.4,10.6,24.3,6.5,1.5,8.0,0.14,2.2,-1.1,1.0,2.1,0,0.001,Candidate,1987
Manute Bol,C,24,82,1552,103,231,0.446,0,1,0.0,103,230,0.448,0.446,45,67,0.672,84,278,362,11,20,302,61,189,251,10.9,0.482,0.004,0.29,5.6,19.3,12.4,0.9,0.6,10.8,19.0,8.3,-0.5,2.9,2.4,0.074,-4.3,4.6,0.3,0.9,0,0.0,OOR,1987
