Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status,Season
Tariq Abdul-Wahad,SG,27,24,441,55,147,0.374,1,2,0.5,54,145,0.372,0.378,24,33,0.727,41,43,84,24,20,10,27,56,135,OOR,2002
Shareef Abdur-Rahim,PF,25,77,2980,598,1297,0.461,21,70,0.3,577,1227,0.47,0.469,419,523,0.801,198,498,696,239,98,81,250,214,1636,OOR,2002
Courtney Alexander,SG,24,56,1325,223,474,0.47,5,18,0.278,218,456,0.478,0.476,98,121,0.81,43,105,148,86,35,7,60,113,549,OOR,2002
Victor Alexander,C,32,15,97,18,51,0.353,0,2,0.0,18,49,0.367,0.353,4,8,0.5,7,22,29,6,0,1,5,6,40,OOR,2002
Malik Allen,PF,23,12,161,22,51,0.431,0,1,0.0,22,50,0.44,0.431,8,10,0.8,15,23,38,5,3,8,2,16,52,OOR,2002
Ray Allen,SG,26,69,2525,530,1148,0.462,229,528,0.434,301,620,0.485,0.561,214,245,0.873,81,231,312,271,88,18,159,157,1503,OOR,2002
Rafer Alston,PG,25,50,600,66,191,0.346,27,71,0.38,39,120,0.325,0.416,18,29,0.621,10,62,72,143,32,2,40,42,177,OOR,2002
John Amaechi,PF,31,54,586,54,166,0.325,0,0,0.0,54,166,0.325,0.325,67,105,0.638,52,57,109,29,7,10,55,64,175,OOR,2002
Chris Andersen,C,23,24,262,25,74,0.338,0,4,0.0,25,70,0.357,0.338,22,28,0.786,38,38,76,7,7,28,13,35,72,OOR,2002
Derek Anderson,SG,27,70,1860,247,612,0.404,85,228,0.373,162,384,0.422,0.473,178,208,0.856,47,142,189,216,68,8,87,113,757,OOR,2002
Kenny Anderson,PG,31,76,2430,312,716,0.436,9,33,0.273,303,683,0.444,0.442,98,132,0.742,57,218,275,403,141,10,119,210,731,OOR,2002
Nick Anderson,SG,34,15,219,21,76,0.276,13,48,0.271,8,28,0.286,0.362,5,9,0.556,1,32,33,14,6,6,14,17,60,OOR,2002
Shandon Anderson,SG,28,82,1596,149,373,0.399,39,141,0.277,110,232,0.474,0.452,74,107,0.692,57,192,249,76,48,15,97,134,411,OOR,2002
Greg Anthony,PG,34,60,1514,183,475,0.385,48,163,0.294,135,312,0.433,0.436,60,91,0.659,22,110,132,282,77,5,94,114,474,OOR,2002
Gilbert Arenas,PG,20,47,1155,174,384,0.453,39,113,0.345,135,271,0.498,0.504,124,160,0.775,41,91,132,174,69,11,97,115,511,OOR,2002
Brandon Armstrong,SG,21,35,196,27,85,0.318,5,17,0.294,22,68,0.324,0.347,5,10,0.5,10,6,16,8,7,1,8,26,64,OOR,2002
Darrell Armstrong,PG,33,82,2730,347,828,0.419,139,398,0.349,208,430,0.484,0.503,182,205,0.888,83,236,319,453,157,10,175,166,1015,OOR,2002
Carlos Arroyo,PG,22,37,371,49,111,0.441,0,2,0.0,49,109,0.45,0.441,13,18,0.722,12,28,40,70,11,1,23,30,111,OOR,2002
