Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season,W
Jeff Adrien,PF,25,HOU,8,63,7,16,0.438,0,0,0.0,7,16,0.438,0.438,7,12,0.583,5,17,22,1,0,2,2,13,21,11.2,0.493,0.0,0.75,9.1,31.6,20.3,2.4,0.0,2.4,8.6,16.8,0.1,0.1,0.1,0.106,-4.0,-0.2,-4.3,0.0,0,0.0,OOR,2012,34
Arron Afflalo,SG,26,DEN,62,2086,329,699,0.471,88,221,0.398,241,478,0.504,0.534,197,247,0.798,40,157,197,149,36,13,85,134,943,14.7,0.584,0.316,0.353,2.3,8.5,5.5,11.1,0.9,0.5,9.5,19.1,4.7,0.6,5.3,0.121,1.4,-1.2,0.1,1.1,0,0.0,OOR,2012,38
Blake Ahearn,PG,27,UTA,4,30,4,14,0.286,2,9,0.222,2,5,0.4,0.357,0,0,0.0,0,2,2,1,0,0,5,4,10,-7.3,0.357,0.643,0.0,0.0,7.7,3.8,5.2,0.0,0.0,26.3,28.4,-0.2,0.0,-0.2,-0.315,-12.7,-6.8,-19.5,-0.1,0,0.0,OOR,2012,36
Solomon Alabi,C,23,TOR,14,122,13,36,0.361,0,0,0.0,13,36,0.361,0.361,7,8,0.875,15,32,47,3,2,9,5,11,33,14.2,0.418,0.0,0.222,14.6,30.4,22.6,4.1,0.9,6.0,11.2,17.2,0.0,0.2,0.2,0.083,-2.9,0.7,-2.2,0.0,0,0.0,OOR,2012,23
Cole Aldrich,C,23,OKC,26,173,22,42,0.524,0,0,0.0,22,42,0.524,0.524,13,14,0.929,13,35,48,3,8,16,9,22,57,17.7,0.592,0.0,0.333,9.2,21.6,15.8,2.7,2.4,6.7,15.7,14.9,0.3,0.4,0.6,0.176,-1.3,2.2,1.0,0.1,0,0.0,OOR,2012,47
LaMarcus Aldridge,PF,26,POR,55,1994,483,943,0.512,2,11,0.182,481,932,0.516,0.513,223,274,0.814,150,292,442,134,51,45,111,153,1191,22.7,0.56,0.012,0.291,8.6,17.5,12.9,13.2,1.3,1.7,9.5,27.0,5.4,1.6,7.0,0.169,3.4,-0.4,3.0,2.5,0,0.0,OOR,2012,28
Lavoy Allen,PF,22,PHI,41,624,79,167,0.473,0,0,0.0,79,167,0.473,0.473,11,14,0.786,47,124,171,34,13,18,20,73,169,12.7,0.488,0.0,0.084,8.3,22.2,15.2,8.4,1.1,2.2,10.4,14.5,0.4,1.2,1.6,0.124,-2.8,1.0,-1.7,0.0,0,0.0,OOR,2012,35
Ray Allen,SG,36,BOS,46,1565,226,493,0.458,106,234,0.453,120,259,0.463,0.566,97,106,0.915,14,128,142,109,49,8,68,83,655,14.8,0.607,0.475,0.215,1.1,9.2,5.3,11.8,1.7,0.4,11.2,18.6,2.5,2.2,4.7,0.145,1.5,0.7,2.2,1.6,0,0.0,OOR,2012,39
Tony Allen,SG,30,MEM,58,1525,210,448,0.469,8,26,0.308,202,422,0.479,0.478,140,175,0.8,98,135,233,79,104,33,94,142,568,15.7,0.541,0.058,0.391,7.4,10.6,8.9,8.3,3.6,1.8,15.2,18.4,1.7,2.5,4.2,0.131,-0.6,2.3,1.7,1.4,0,0.0,OOR,2012,41
Morris Almond,SG,26,WAS,4,67,6,17,0.353,1,3,0.333,5,14,0.357,0.382,1,3,0.333,1,7,8,2,7,0,1,6,14,8.7,0.382,0.176,0.176,1.7,11.9,6.7,4.4,5.4,0.0,5.2,12.9,-0.1,0.1,0.0,0.032,-6.0,4.2,-1.8,0.0,0,0.0,OOR,2012,20
Al-Farouq Aminu,SF,21,NOH,66,1477,150,365,0.411,13,47,0.277,137,318,0.431,0.429,86,114,0.754,95,213,308,66,59,34,91,136,399,10.6,0.481,0.129,0.312,7.8,16.9,12.4,7.2,2.2,1.9,18.0,16.2,-0.4,1.8,1.4,0.044,-2.9,0.6,-2.2,-0.1,0,0.0,OOR,2012,21
Lou Amundson,PF,29,IND,60,753,89,207,0.43,0,0,0.0,89,207,0.43,0.43,35,82,0.427,94,128,222,14,27,44,45,125,213,11.5,0.438,0.0,0.396,14.1,19.0,16.6,3.0,1.9,4.6,15.6,17.3,-0.3,1.3,1.0,0.062,-4.0,0.1,-4.0,-0.4,0,0.0,OOR,2012,42
Chris Andersen,C,33,DEN,32,486,59,108,0.546,0,0,0.0,59,108,0.546,0.546,50,82,0.61,48,100,148,6,19,46,17,52,168,18.9,0.583,0.0,0.759,11.9,23.3,17.8,1.8,2.0,7.4,10.6,14.8,1.0,0.8,1.9,0.183,0.5,1.8,2.3,0.5,0,0.0,OOR,2012,38
Alan Anderson,SF,29,TOR,17,461,55,142,0.387,24,61,0.393,31,81,0.383,0.472,29,34,0.853,8,26,34,26,5,3,25,35,163,8.7,0.519,0.43,0.239,2.1,6.5,4.3,9.5,0.6,0.5,13.7,18.6,0.1,0.2,0.3,0.032,-1.7,-1.3,-3.0,-0.1,0,0.0,OOR,2012,23
James Anderson,SG,22,SAS,51,603,66,174,0.379,19,68,0.279,47,106,0.443,0.434,39,52,0.75,16,63,79,41,8,2,30,35,190,8.8,0.483,0.391,0.299,3.1,11.8,7.5,9.6,0.7,0.2,13.2,17.2,0.1,0.4,0.5,0.04,-2.7,-1.4,-4.1,-0.3,0,0.0,OOR,2012,50
Ryan Anderson,PF,23,ORL,61,1964,332,757,0.439,166,422,0.393,166,335,0.496,0.548,150,171,0.877,224,247,471,54,50,26,57,146,980,21.2,0.589,0.557,0.226,13.0,14.7,13.8,5.1,1.4,1.0,6.4,21.2,7.0,1.9,8.9,0.219,5.2,-1.1,4.0,3.0,0,0.0,OOR,2012,37
Carmelo Anthony,SF,27,NYK,55,1876,441,1025,0.43,68,203,0.335,373,822,0.454,0.463,295,367,0.804,88,256,344,200,62,24,144,156,1245,21.1,0.525,0.198,0.358,5.4,15.9,10.6,21.0,1.7,1.0,10.8,31.8,3.7,2.6,6.2,0.16,3.8,-0.2,3.6,2.7,0,0.0,OOR,2012,36
Joel Anthony,C,29,MIA,64,1349,85,152,0.559,0,0,0.0,85,152,0.559,0.559,49,71,0.69,100,150,250,9,36,84,45,126,219,10.3,0.598,0.0,0.467,9.2,12.8,11.1,1.0,1.4,5.1,19.7,7.8,1.2,2.2,3.4,0.122,-2.0,1.6,-0.5,0.5,0,0.0,OOR,2012,46
Gilbert Arenas,PG,30,MEM,17,211,26,64,0.406,13,39,0.333,13,25,0.52,0.508,7,10,0.7,2,16,18,18,11,1,12,35,72,9.9,0.526,0.609,0.156,1.1,9.0,5.0,13.4,2.8,0.4,14.9,17.3,0.1,0.3,0.4,0.088,-3.3,2.0,-1.3,0.0,0,0.0,OOR,2012,41
Trevor Ariza,SF,26,NOH,41,1350,168,403,0.417,29,87,0.333,139,316,0.44,0.453,79,102,0.775,41,174,215,135,69,25,76,73,444,14.2,0.496,0.216,0.253,3.7,15.1,9.5,16.8,2.8,1.5,14.5,18.4,0.5,1.7,2.2,0.078,-0.4,1.7,1.3,1.1,0,0.0,OOR,2012,21
Ömer Aşık,C,25,CHI,66,971,79,156,0.506,0,0,0.0,79,156,0.506,0.506,47,103,0.456,127,223,350,32,30,68,68,121,205,13.4,0.509,0.0,0.66,14.9,25.1,20.1,4.8,1.7,5.0,25.2,12.6,0.1,2.5,2.6,0.129,-3.2,2.5,-0.7,0.3,0,0.0,OOR,2012,50
D.J. Augustin,PG,24,CHA,48,1408,183,487,0.376,61,179,0.341,122,308,0.396,0.438,105,120,0.875,24,85,109,307,36,1,110,65,532,14.1,0.493,0.368,0.246,1.9,7.2,4.4,38.9,1.3,0.1,16.9,21.3,0.7,-0.2,0.5,0.018,0.7,-3.2,-2.5,-0.2,0,0.0,OOR,2012,7
Gustavo Ayón,PF,26,NOH,54,1088,140,261,0.536,0,1,0.0,140,260,0.538,0.536,39,63,0.619,86,179,265,74,53,46,46,118,319,16.7,0.552,0.004,0.241,9.6,19.3,14.5,11.5,2.6,3.5,13.7,14.5,1.5,1.7,3.2,0.142,0.0,2.5,2.5,1.2,0,0.0,OOR,2012,21
Jeff Ayres,C,24,IND,20,106,15,36,0.417,0,0,0.0,15,36,0.417,0.417,4,7,0.571,12,21,33,4,3,2,2,16,34,13.4,0.435,0.0,0.194,12.8,22.1,17.5,6.3,1.5,1.5,4.9,17.6,0.1,0.2,0.3,0.115,-1.9,-1.0,-2.8,0.0,0,0.0,OOR,2012,42
Kelenna Azubuike,SG,28,DAL,3,18,3,8,0.375,1,3,0.333,2,5,0.4,0.438,0,0,0.0,0,0,0,0,1,0,4,1,7,-3.4,0.438,0.375,0.0,0.0,0.0,0.0,0.0,2.9,0.0,33.3,30.9,-0.1,0.0,-0.1,-0.325,-10.3,-3.7,-14.0,-0.1,0,0.0,OOR,2012,36
Luke Babbitt,SF,22,POR,40,537,71,173,0.41,43,100,0.43,28,73,0.384,0.535,17,20,0.85,16,79,95,16,10,4,27,46,202,11.3,0.556,0.578,0.116,3.4,17.5,10.3,4.8,1.0,0.6,12.9,17.8,0.4,0.3,0.7,0.064,-0.6,-1.8,-2.3,0.0,0,0.0,OOR,2012,28
Renaldo Balkman,SF,27,NYK,14,115,16,32,0.5,2,9,0.222,14,23,0.609,0.531,8,11,0.727,6,20,26,5,4,3,6,14,42,14.3,0.57,0.281,0.344,6.0,20.3,13.1,7.2,1.8,2.1,14.0,16.7,0.1,0.2,0.3,0.142,-1.3,0.8,-0.5,0.0,0,0.0,OOR,2012,36
Leandro Barbosa,SG,29,TOR,64,1382,271,637,0.425,65,170,0.382,206,467,0.441,0.476,101,124,0.815,33,95,128,96,56,7,94,135,708,14.0,0.512,0.267,0.195,2.8,7.9,5.3,13.3,2.2,0.4,12.0,26.5,0.5,1.2,1.7,0.06,-0.6,-0.6,-1.2,0.3,0,0.0,OOR,2012,23
J.J. Barea,PG,27,MIN,41,1032,167,418,0.4,53,143,0.371,114,275,0.415,0.463,76,98,0.776,14,100,114,232,21,0,103,61,463,14.9,0.502,0.342,0.234,1.5,10.8,6.1,39.0,1.0,0.0,18.3,24.3,0.8,0.4,1.2,0.056,1.1,-2.1,-1.0,0.3,0,0.0,OOR,2012,26
Andrea Bargnani,C,26,TOR,31,1032,209,484,0.432,34,115,0.296,175,369,0.474,0.467,151,173,0.873,24,148,172,61,18,15,69,52,603,17.9,0.538,0.238,0.357,2.8,16.6,9.8,11.6,0.9,1.2,11.0,28.7,1.3,0.9,2.2,0.104,2.4,-1.3,1.1,0.8,0,0.0,OOR,2012,23
Matt Barnes,SF,31,LAL,63,1440,175,387,0.452,46,138,0.333,129,249,0.518,0.512,95,128,0.742,97,247,344,126,35,48,73,152,491,15.5,0.554,0.357,0.331,7.9,18.3,13.3,13.8,1.3,2.4,14.1,16.4,2.4,1.8,4.3,0.142,0.4,1.3,1.6,1.3,0,0.0,OOR,2012,41
Earl Barron,C,30,GSW,2,9,2,4,0.5,0,0,0.0,2,4,0.5,0.5,0,0,0.0,1,0,1,0,0,0,0,5,4,4.7,0.5,0.0,0.0,12.6,0.0,6.3,0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,0.054,-11.5,-4.8,-16.3,0.0,0,0.0,OOR,2012,23
Brandon Bass,PF,26,BOS,59,1868,303,632,0.479,0,0,0.0,303,632,0.479,0.479,132,163,0.81,95,270,365,55,34,54,65,135,738,14.1,0.524,0.0,0.258,6.3,16.3,11.5,5.1,1.0,2.2,8.5,19.8,1.5,3.2,4.7,0.122,-1.3,0.3,-1.0,0.5,0,0.0,OOR,2012,39
Tony Battie,C,35,PHI,27,295,19,51,0.373,0,1,0.0,19,50,0.38,0.373,4,4,1.0,8,59,67,16,4,6,4,26,42,7.3,0.398,0.02,0.078,3.0,22.3,12.6,7.6,0.7,1.5,7.0,9.0,0.0,0.5,0.5,0.076,-4.4,1.5,-2.9,-0.1,0,0.0,OOR,2012,35
Shane Battier,SF,33,MIA,65,1499,113,292,0.387,62,183,0.339,51,109,0.468,0.493,23,37,0.622,56,100,156,82,64,33,37,105,311,9.7,0.504,0.627,0.127,4.6,7.7,6.2,8.0,2.2,1.8,10.7,10.7,1.2,2.1,3.3,0.104,-0.7,1.6,0.9,1.1,0,0.0,OOR,2012,46
Nicolas Batum,SF,23,POR,59,1791,289,641,0.451,107,274,0.391,182,367,0.496,0.534,133,159,0.836,81,190,271,84,57,60,90,105,818,17.3,0.575,0.427,0.248,5.2,12.6,8.8,7.9,1.7,2.6,11.2,20.5,3.3,1.4,4.8,0.127,2.6,0.0,2.5,2.0,0,0.0,OOR,2012,28
Jerryd Bayless,PG,23,TOR,31,705,117,276,0.424,44,104,0.423,73,172,0.424,0.504,75,88,0.852,8,58,66,118,24,4,53,70,353,17.7,0.561,0.377,0.319,1.3,9.5,5.5,30.7,1.8,0.5,14.4,24.6,1.5,0.6,2.0,0.139,2.4,-0.7,1.7,0.6,0,0.0,OOR,2012,23
Michael Beasley,SF,23,MIN,47,1087,221,497,0.445,38,101,0.376,183,396,0.462,0.483,61,95,0.642,39,168,207,45,18,19,80,83,541,13.0,0.502,0.203,0.191,4.0,17.2,10.6,7.7,0.9,1.2,12.9,25.3,-0.3,0.8,0.5,0.022,-1.2,-0.9,-2.1,0.0,0,0.0,OOR,2012,26
Rodrigue Beaubois,PG,23,DAL,53,1151,188,445,0.422,38,132,0.288,150,313,0.479,0.465,58,69,0.841,19,132,151,152,56,28,70,98,472,15.3,0.496,0.297,0.155,1.9,12.8,7.4,22.7,2.6,1.9,12.8,22.0,0.5,1.7,2.2,0.092,-0.4,1.7,1.3,1.0,0,0.0,OOR,2012,36
Marco Belinelli,SG,25,NOH,66,1966,286,686,0.417,107,284,0.377,179,402,0.445,0.495,101,129,0.783,19,153,172,101,48,5,69,115,780,11.9,0.525,0.414,0.188,1.2,9.1,5.2,8.9,1.3,0.2,8.5,19.5,1.9,1.0,2.9,0.071,-0.4,-0.8,-1.2,0.4,0,0.0,OOR,2012,21
Raja Bell,SG,35,UTA,34,796,81,174,0.466,34,87,0.391,47,87,0.54,0.563,21,25,0.84,6,43,49,38,13,2,21,78,217,8.3,0.586,0.5,0.144,0.9,6.3,3.5,7.0,0.9,0.2,10.2,11.6,1.0,0.1,1.1,0.069,-1.8,-0.7,-2.5,-0.1,0,0.0,OOR,2012,36
