Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Álex Abrines,SG,23.0,68.0,1055.0,134.0,341.0,0.393,94.0,247.0,0.381,40.0,94.0,0.426,0.531,44.0,49.0,0.898,18.0,68.0,86.0,40.0,37.0,8.0,33.0,114.0,406.0
Quincy Acy,PF,26.0,38.0,558.0,70.0,170.0,0.412,37.0,90.0,0.411,33.0,80.0,0.413,0.521,45.0,60.0,0.75,20.0,95.0,115.0,18.0,14.0,15.0,21.0,67.0,222.0
Steven Adams,C,23.0,80.0,2389.0,374.0,655.0,0.571,0.0,1.0,0.0,374.0,654.0,0.572,0.571,157.0,257.0,0.611,281.0,332.0,613.0,86.0,89.0,78.0,146.0,195.0,905.0
Arron Afflalo,SG,31.0,61.0,1580.0,185.0,420.0,0.44,62.0,151.0,0.411,123.0,269.0,0.457,0.514,83.0,93.0,0.892,9.0,116.0,125.0,78.0,21.0,6.0,42.0,104.0,515.0
Alexis Ajinça,C,28.0,39.0,584.0,89.0,178.0,0.5,0.0,4.0,0.0,89.0,174.0,0.511,0.5,29.0,40.0,0.725,46.0,131.0,177.0,12.0,20.0,22.0,31.0,77.0,207.0
Cole Aldrich,C,28.0,62.0,531.0,45.0,86.0,0.523,0.0,0.0,0.0,45.0,86.0,0.523,0.523,15.0,22.0,0.682,51.0,107.0,158.0,25.0,25.0,23.0,17.0,85.0,105.0
LaMarcus Aldridge,PF,31.0,72.0,2335.0,500.0,1049.0,0.477,23.0,56.0,0.411,477.0,993.0,0.48,0.488,220.0,271.0,0.812,172.0,351.0,523.0,139.0,46.0,88.0,98.0,158.0,1243.0
Lavoy Allen,PF,27.0,61.0,871.0,77.0,168.0,0.458,0.0,1.0,0.0,77.0,167.0,0.461,0.458,23.0,33.0,0.697,105.0,114.0,219.0,57.0,18.0,24.0,29.0,78.0,177.0
Tony Allen,SG,35.0,71.0,1914.0,274.0,595.0,0.461,15.0,54.0,0.278,259.0,541.0,0.479,0.473,80.0,130.0,0.615,166.0,225.0,391.0,98.0,115.0,29.0,100.0,178.0,643.0
Al-Farouq Aminu,PF,26.0,61.0,1773.0,183.0,466.0,0.393,70.0,212.0,0.33,113.0,254.0,0.445,0.468,96.0,136.0,0.706,77.0,374.0,451.0,99.0,60.0,44.0,94.0,102.0,532.0
