Player,First,Share,Status
Magic Johnson,65.0,0.94,MVP
Michael Jordan,10.0,0.576,Candidate
Larry Bird,1.0,0.347,Candidate
Kevin McHale,0.0,0.326,Candidate
Dominique Wilkins,0.0,0.164,Candidate
Charles Barkley,1.0,0.145,Candidate
Hakeem Olajuwon,1.0,0.036,Candidate
Isiah Thomas,0.0,0.022,Candidate
Fat Lever,0.0,0.014,Candidate
Moses Malone,0.0,0.012,Candidate
Steve Johnson,0.0,0.005,Candidate
Karl Malone,0.0,0.004,Candidate
Robert Parish,0.0,0.004,Candidate
Alex English,0.0,0.003,Candidate
Mark Aguirre,0.0,0.001,Candidate
Rolando Blackman,0.0,0.001,Candidate
Joe Barry Carroll,0.0,0.001,Candidate
