Player,First,Share,Status
Kevin Garnett,120.0,0.991,MVP
Tim Duncan,0.0,0.582,Candidate
Jermaine O'Neal,2.0,0.425,Candidate
Peja Stojaković,1.0,0.228,Candidate
Kobe Bryant,0.0,0.172,Candidate
Shaquille O'Neal,0.0,0.145,Candidate
Ben Wallace,0.0,0.02,Candidate
Jason Kidd,0.0,0.014,Candidate
LeBron James,0.0,0.009,Candidate
Sam Cassell,0.0,0.003,Candidate
Baron Davis,0.0,0.003,Candidate
Dirk Nowitzki,0.0,0.003,Candidate
Andrei Kirilenko,0.0,0.002,Candidate
Carmelo Anthony,0.0,0.001,Candidate
Yao Ming,0.0,0.001,Candidate
Michael Redd,0.0,0.001,Candidate
